country	Bahrain	#5E1D9D
country	Serbia	#4D22AD
country	Europe	#4530BB
country	Latvia	#403FC6
country	Slovakia	#3F51CC
country	Slovenia	#3F62D0
country	Poland	#4272CE
country	Belarus	#4681CA
country	Estonia	#4B8EC2
country	Lithuania	#5199B8
country	Hungary	#58A2AC
country	Croatia	#60AA9F
country	France	#69B091
country	Iceland	#72B584
country	Norway	#7DB877
country	Denmark	#89BB6B
country	Netherlands	#95BD61
country	Belgium	#A1BE58
country	Luxembourg	#AEBD50
country	Germany	#BABC4A
country	Austria	#C5B945
country	Switzerland	#D0B441
country	Italy	#D8AE3E
country	Spain	#DFA43B
country	Czech Republic	#E49938
country	United Kingdom	#E68B35
country	Ireland	#E67A32
country	Finland	#E4672E
country	Sweden	#E1522A
country	Portugal	#DE3D27
country	Greece	#DB2823

location	ZINJ	#5E1D9D
location	ZAYED TOWN	#5A1DA0
location	ZALLAQ	#571EA3
location	WADIYAN	#531EA6
location	WADI ALI	#501EA9
location	UMMHAZWARAH	#4E20AB
location	UMM JIDR AL SUMMAN	#4D22AE
location	UMM JIDR	#4C25B0
location	UMM AL NA'SAN	#4A27B2
location	UM AL BAIDH	#492AB5
location	TUBLI	#472CB7
location	TASHAN	#462EB9
location	TARRAFI	#4531BC
location	SUWAD AL SHAMALIYAH	#4333BE
location	SUWAD AL JANUBIYAH	#4236C0
location	SUFALA	#4138C3
location	SOUTH SEHLA	#403BC4
location	SHARQ AL HIDD UM AL SHAJAR	#403EC6
location	SHARQ AL HIDD UM AL SAWALI	#4041C7
location	SHARQ AL HIDD AL QULYAH	#3F44C8
location	SHARQ AL HIDD AL EZEL	#3F47C9
location	SHAKHURAH	#3F4ACA
location	SHAHRAKKAN	#3F4DCB
location	SAR	#3F50CC
location	SANAD	#3F53CD
location	SANABIS	#3F56CE
location	SAMAHEEJ	#3E59CF
location	SALMAN TOWN	#3E5CD0
location	SALIMABAD	#3F5ED0
location	SALIHIYA	#3F61D0
location	SAFREH	#4064CF
location	SADAD	#4067CF
location	RUBUD AL SHARQIYAH	#416ACF
location	RUBUD AL GHARBIYAH	#416CCE
location	RIFFA MOASKAR	#426FCE
location	RIFFA / WADI ALSAIL	#4272CE
location	RIFFA / SWAYFRA	#4375CD
location	RIFFA / MO'ASKAR	#4377CD
location	RIFFA / JARYALSHAIKH	#447ACD
location	RIFFA / BUKOWARAH	#447DCC
location	RIFFA / ALSHARGI	#457FCB
location	RIFFA / ALROWDHA	#4681C9
location	RIFFA / ALHUNAYNIYAH	#4783C8
location	RIFFA / ALHAJIYAT	#4886C7
location	RIFFA / ALGHARBI	#4988C5
location	RIFFA / AL SHAMALI	#498AC4
location	RIFFA / AL BUHAIR	#4A8CC2
location	RAS ZUWAYED	#4B8EC1
location	RAS HAYYAN	#4C91C0
location	RAS ABU JARJUR	#4D93BE
location	QALALI	#4E95BD
location	NURANA ISLAND	#4F97BB
location	NORTH SEHLA	#5098B9
location	NABIH SALEH	#519AB7
location	MUZARRA	#539BB5
location	MURQOBAN	#549DB3
location	MUHARRAQ	#559EB1
location	MOHAMMADIYAH	#56A0AE
location	MAQABAH	#57A1AC
location	MANAMA/MINA SALMAN INDUSTRIAL AREA	#59A3AA
location	MANAMA CENTER	#5AA5A8
location	MANAMA / UMM ALHASSAM	#5BA6A6
location	MANAMA / SEA FRONT	#5CA8A4
location	MANAMA / BUGHAZAL	#5EA9A2
location	MANAMA / BUASHIRAH	#5FAA9F
location	MANAMA / ALSUWAYFIYAH	#61AB9D
location	MANAMA / ALSUQAYYAH	#63AC9B
location	MANAMA / ALSALMANIYA	#64AD98
location	MANAMA / ALQUDAYBIYAH	#66AE96
location	MANAMA / ALNAI'M	#67AF94
location	MANAMA / ALMAHUZ	#69B091
location	MANAMA / ALJUFFAIR	#6AB18F
location	MANAMA / ALHOORA	#6CB28D
location	MANAMA / ALGUFUL	#6DB38A
location	MANAMA / ALGHURAYFAH	#6FB388
location	MANAMA / ALFATEH	#71B486
location	MANAMA / ALCORNICHE	#73B584
location	MANAMA / AL ADLIYAH	#75B581
location	MAMLAHAT AL MAMTALAH	#76B67F
location	MALKIYA	#78B77D
location	MAHAZZAH	#7AB77B
location	MADINAT KHALIFA ALULAIM	#7CB879
location	MADINAT KHALIFA ALMAHADIR	#7EB876
location	MADINAT HAMAD	#80B974
location	LHASSAY	#82BA72
location	KING FAHAD CAUSWAY	#83BA70
location	KHAMIS	#86BB6E
location	KARZAKKAN	#88BB6C
location	KARRANAH	#8ABB6A
location	KARBABAD	#8CBB69
location	JUZUR AL DAR	#8EBC67
location	JIDHAFS	#90BC65
location	JIDDAH	#92BC63
location	JIDD ALI	#94BD61
location	JID AL HAJ	#96BD60
location	JERDAB	#98BD5E
location	JEBLAT HIBSHI	#9ABE5C
location	JAZIRAT HAWAR	#9DBE5A
location	JAZAER BEACH	#9FBE59
location	JAU	#A1BE58
location	JANNUSAN	#A3BE57
location	ISA TOWN	#A5BE55
location	INDUSTRIAL AREA	#A7BE54
location	HILLAT ABDULSALEH	#AABD53
location	HIDD AL JAMAL	#ACBD51
location	HIDD	#AEBD50
location	HAWRAT SANAD	#B0BD4F
location	HAWRAT INGAH	#B2BD4D
location	HAWRAT A ALI	#B4BD4C
location	HALAT AL SLETAH	#B6BD4B
location	HALAT AL NEAIM	#B8BC4A
location	HAFIRAH	#BABC4A
location	DURRAT AL BAHRAIN	#BCBB49
location	DIYAR AL MUHARRAQ	#BEBB48
location	DIPLOMATIC AREA	#C0BA47
location	DILMUNIA ISLAND	#C2BA46
location	DAR KULAIB	#C4B945
location	DAMISTAN	#C6B944
location	BUSAITEEN	#C8B944
location	BURI	#CAB843
location	BUDAIYA	#CCB742
location	BU QUWAH	#CDB642
location	BILAD AL QADEEM	#CFB541
location	BAR BAR	#D0B441
location	BANI JAMRAH	#D2B340
location	BANDER AL SEEF	#D3B23F
location	Area	#D5B03F
location	AWALI	#D6AF3E
location	ASKAR	#D8AE3E
location	ARAD	#D9AD3D
location	AMWAJ	#DBAC3D
location	AL SHABAK	#DCAB3C
location	AL SEEF	#DDA93C
location	AL SAYH	#DEA73B
location	AL SAKHIR	#DFA53B
location	AL SAFRIYAH	#E0A33A
location	AL RUMAYTHAH	#E1A13A
location	AL RUMAMIN	#E19F3A
location	AL RIFFAH	#E29D39
location	AL RAMLI	#E39B39
location	AL QURAYYAH	#E49938
location	AL QURAYN	#E59738
location	AL QARYAH	#E69537
location	AL QARAH	#E69337
location	AL QAL'AH	#E69036
location	AL QADAM	#E68D36
location	AL NUWAIDRAT	#E68A35
location	AL NASFA	#E68735
location	AL MUSALLA	#E68434
location	AL MAZROWIAH	#E68234
location	AL MARKH	#E67F33
location	AL MAQSHA	#E67C32
location	AL MAMTALAH	#E67932
location	AL MA'AMEER	#E67631
location	AL LAWZI	#E67331
location	AL KHARIJIYAH	#E67030
location	AL JASRAH	#E56C2F
location	AL JANABIYAH	#E4682F
location	AL JA'SIRAH	#E4652E
location	AL HAMRIYA	#E3612D
location	AL HAMALAH	#E35E2D
location	AL HAJAR	#E25A2C
location	AL GHAYNAH	#E2572B
location	AL DUR	#E1532B
location	AL DIRAZ	#E14F2A
location	AL DAIR	#E04C29
location	AL DAIH	#E04829
location	AL BURHAMA	#DF4528
location	AL AMUR	#DF4127
location	AL AKR AL SHARQI	#DE3E27
location	AL AKR AL GHARBI	#DE3A26
location	ADHARI	#DD3625
location	ABU SAYBA	#DD3325
location	ABU BHAM	#DC2F24
location	ABU AL 'AYASH	#DC2C23
location	A'ALI	#DB2823

division    northern
division    southern
division    capital
division    muharraq

recency	Older	#416DCE
recency	One month ago	#59A3AA
recency	One week ago	#84BA6F
recency	3-7 days ago	#BBBC49
recency	1-2 days ago	#E29D39
recency	New	#E1502A

region	Oceania	#416DCE
region	Asia	#59A3AA
region	Africa	#84BA6F
region	Europe	#BBBC49
region	North America	#E29D39
region	South America	#E1502A

